achievementId,title_Korean,title_English,description_Korean,description_English
02_ad_draw_25,행운 상자 달인,Box Master,광고 상자를 25번 뽑기,Open the daily ad box 25 times
04_WEEKLY_SURVIVE_75,끝까지 간다!,Iron Duck!,총 75분간 버티기,Survive 75 Minutes Total
10_STAGE_REACH_12,모험가,Adventurer,스테이지 12에 도달하기,Reach Stage 12
10_STAGE_REACH_18,베테랑 오리,Veteran Duck,스테이지 18에 도달하기,Reach Stage 18
10_STAGE_REACH_24,전설의 오리,Legendary Duck,스테이지 24에 도달하기,Reach Stage 24
10_STAGE_REACH_6,첫 발걸음,First Steps,스테이지 6에 도달하기,Reach Stage 6
11_Boss_Defeat_1,여왕을 만나다,Royal Encounter,뽀글뽀글 여왕 격퇴하기,Defeat the Bubble Queen
11_Boss_Defeat_2,두 번은 못 참지!,Twice is Too Much!,데굴데굴 여왕 격퇴하기,Defeat the Roller Queen
11_Boss_Defeat_3,여왕의 천적,Royal Nemesis,드릴드릴 여왕 격퇴하기,Defeat the Drill Queen
11_Boss_Defeat_4,왕관 수집가,Crown Collector,삐용삐용 여왕 격퇴하기,Defeat the Zapper Queen
11_Boss_Defeat_5,여왕은 오리가 무서워요,The Queen is Scared!,아뜨아뜨 여왕 격퇴하기,Defeat the Flare Queen
daily_ad_draw_1,첫 번째 행운 상자,Lucky Beginner,행운 상자를 1번 열기,Open the lucky box 1 time
daily_ad_draw_5,행운 상자 수집가,Box Collector,행운 상자를 5번 열기,Open the lucky box 5 times
daily_kill_1500,오늘의 대청소 2,Daily Sweep 2,슬라임 1500마리 처치하기,Defeat 1500 slimes
daily_kill_3000,오늘의 대청소 3,Daily Sweep 3,슬라임 3000마리 처치하기,Defeat 3000 slimes
daily_kill_500,오늘의 대청소 1,Daily Sweep 1,슬라임 500마리 처치하기,Defeat 500 slimes
daily_stage_clear_1,오늘의 출동!,Today's Mission!,스테이지 1개 클리어하기,Clear 1 stage
daily_stage_clear_3,오늘도 열심히!,Nonstop Duck,스테이지 3개 클리어하기,Clear 3 stages
daily_survive_15,아직 괜찮아!,Hang in there!,총 15분간 버티기,Survive 15 Minutes Total
INF_DAILY_KILL_800,적 800마리 처치,Defeat 800 Enemies,적 800마리 처치,Defeat 800 Enemies
INF_DAILY_SURVIVE_5,5분간 버티기,Survive 5 Minutes,총 5분간 버티기,Survive 5 Minutes Total
INF_DAILY_WAVE_8,웨이브 8 도달,Reach Wave 8,웨이브 8 도달,Reach Wave 8
INF_WEEKLY_KILL_6000,적 6000마리 처치,Defeat 6000 Enemies,적 6000마리 처치,Defeat 6000 Enemies
INF_WEEKLY_SURVIVE_40,40분간 버티기,Survive 40 Minutes,총 40분간 버티기,Survive 40 Minutes Total
INF_WEEKLY_WAVE_15,웨이브 15 도달,Reach Wave 15,웨이브 15 도달,Reach Wave 15
tutorial_merge,첫 번째 카드 합성,First Merge!,카드 합성 성공하기,Merge two cards
W_KILL_15000,이번 주 대청소 2,Weekly Sweep 1,슬라임 15000마리 처치하기,Defeat 5000 slimes
W_KILL_30000,이번 주 대청소 3,Weekly Sweep 2,슬라임 3000마리 처치하기,Defeat 15000 slimes
W_KILL_5000,이번 주 대청소 1,Weekly Sweep 3,슬라임 5000마리 처치하기,Defeat 30000 slimes
WEEKLY_STAGE_CLEAR_6,쉬지 않는 오리,Nonstop Duck,스테이지 6개 클리어하기,Clear 3 stages
badge_attack_1,타격왕 오리,Striker Duck,"적 2,000마리 처치","Defeat 2,000 enemies"
badge_attack_2,무자비한 오리,Ruthless Duck,"적 18,000마리 처치","Defeat 18,000 enemies"
badge_critical_1,급소 저격수,Sharpshooter Duck,"적 6,000마리 처치","Defeat 6,000 enemies"
badge_critical_2,치명적인 오리,Lethal Duck,"적 27,000마리 처치","Defeat 27,000 enemies"
badge_speed_1,빠른 발걸음,Quick-Step Duck,8스테이지 도달,Reach Stage 8
badge_speed_2,질주하는 오리,Speedy Duck,22스테이지 도달,Reach Stage 22
badge_knockback_1,힘찬 밀치기,Sturdy Duck,5스테이지 도달,Reach Stage 5
badge_knockback_2,충격의 오리,Impact Duck,15스테이지 도달,Reach Stage 15
badge_armor_1,튼튼한 오리,Tough Duck,누적 생존 30분,Survive 30 minutes total
badge_armor_2,철벽 방어,Iron Wall Duck,누적 생존 240분,Survive 240 minutes total
badge_magnet_1,수집가 오리,Collector Duck,광고 10회 시청,Watch 10 ads
badge_magnet_2,보물사냥꾼,Treasure Hunter,광고 40회 시청,Watch 40 ads
