achievementId,title_Korean,title_English,description_Korean,description_English
02_ad_draw_25,"Box Master",,"Open the daily ad box 25 times",
10_STAGE_REACH_12,"Adventurer",,"Reach Stage 12",
10_STAGE_REACH_18,"Veteran Duck",,"Reach Stage 18",
10_STAGE_REACH_24,"Legendary Duck",,"Reach Stage 24",
10_STAGE_REACH_6,"First Steps",,"Reach Stage 6",
11_Boss_Defeat_1,"Royal Encounter",,"Defeat the Slime Queen 1 time",
11_Boss_Defeat_2,"Twice is Too Much!",,"Defeat the Slime Queen 2 times",
11_Boss_Defeat_3,"Royal Nemesis",,"Defeat the Slime Queen 3 times",
11_Boss_Defeat_4,"Crown Collector",,"Defeat the Slime Queen 4 times",
11_Boss_Defeat_5,"The Queen is Scared!",,"Defeat the Slime Queen 5 times",
daily_ad_draw_1,"Lucky Beginner",,"Open the daily ad box 1 time",
daily_ad_draw_5,"Box Collector",,"Open the daily ad box 5 times",
daily_kill_1500,"Daily Sweep 2",,"Defeat 1500 slimes",
daily_kill_3000,"Daily Sweep 3",,"Defeat 3000 slimes",
daily_kill_500,"Daily Sweep 1",,"Defeat 500 slimes",
daily_stage_clear_1,"Today's Mission!",,"Clear 1 stage",
daily_stage_clear_3,"Nonstop Duck",,"Clear 50 stages",
daily_survive_10,"Iron Duck!",,"Survive for 10 minutes",
daily_survive_3,"Hang in There!",,"Survive for 30 minutes",
INF_DAILY_KILL_800,"",,"",
INF_DAILY_SURVIVE_5,"",,"",
INF_DAILY_WAVE_8,"",,"",
INF_WEEKLY_KILL_6000,"",,"",
INF_WEEKLY_SURVIVE_40,"",,"",
INF_WEEKLY_WAVE_15,"",,"",
tutorial_merge,"First Merge!",,"Merge two cards",
W_KILL_15000,"Weekly Sweep 2",,"Defeat 5000 slimes",
W_KILL_30000,"Weekly Sweep 3",,"Defeat 15000 slimes",
W_KILL_5000,"Weekly Sweep 1",,"Defeat 30000 slimes",
WEEKLY_STAGE_CLEAR_6,"Nonstop Duck",,"Clear 6 stages",
