achievementId,title_Korean,title_English,description_Korean,description_English
02_ad_draw_25,"행운 상자 달인",,"광고 상자를 25번 뽑기",
10_STAGE_REACH_12,"모험가",,"스테이지 12에 도달하기",
10_STAGE_REACH_18,"베테랑 오리",,"스테이지 18에 도달하기",
10_STAGE_REACH_24,"전설의 오리",,"스테이지 24에 도달하기",
10_STAGE_REACH_6,"첫 발걸음",,"스테이지 6에 도달하기",
11_Boss_Defeat_1,"여왕을 만나다",,"슬라임 여왕 1번 격퇴하기",
11_Boss_Defeat_2,"두 번은 못 참지!",,"슬라임 여왕 2번 격퇴하기",
11_Boss_Defeat_3,"여왕의 천적",,"슬라임 여왕 3번 격퇴하기",
11_Boss_Defeat_4,"왕관 수집가",,"슬라임 여왕 4번 격퇴하기",
11_Boss_Defeat_5,"여왕은 오리가 무서워요",,"슬라임 여왕 5번 격퇴하기",
daily_ad_draw_1,"첫 번째 행운 상자",,"광고 상자를 1번 뽑기",
daily_ad_draw_5,"행운 상자 수집가",,"광고 상자를 5번 뽑기",
daily_kill_1500,"오늘의 대청소 2",,"슬라임 1500마리 처치하기",
daily_kill_3000,"오늘의 대청소 3",,"슬라임 3000마리 처치하기",
daily_kill_500,"오늘의 대청소 1",,"슬라임 500마리 처치하기",
daily_stage_clear_1,"오늘의 출동!",,"스테이지 1개 클리어하기",
daily_stage_clear_3,"오늘도 열심히!",,"스테이지 3개 클리어하기",
daily_survive_3,"3분 버티기",,"3분간 생존하기",
daily_survive_3,"3분 버티기",,"3분간 생존하기",
daily_survive_30,"30분 버티기",,"30분간 생존하기",
tutorial_merge,"첫 번째 카드 합성",,"카드 합성 성공하기",
W_KILL_15000,"이번 주 대청소 5",,"슬라임 15000마리 처치하기",
W_KILL_30000,"이번 주 대청소 6",,"슬라임 3000마리 처치하기",
W_KILL_5000,"이번 주 대청소 4",,"슬라임 5000마리 처치하기",
WEEKLY_STAGE_CLEAR_6,"쉬지 않는 오리",,"스테이지 6개 클리어하기",
