upgradeName,Korean,English
# 오리 업그레이드
Arc_0_Acquire,"",
Arc_0_More_Damage_01,"더 아픈 레이져",
Arc_0_More_Damage_02,"더 아픈 레이져",
Arc_0_More_Projectile_01,"레이져 1개 추가",
Arc_0_More_Projectile_02,"레이져 1개 추가",
Arc_0_More_Reflection_01,"한 번 더 반사",
Arc_0_Synergy,"더 많은 레이져",
Arc_1_Acquire,"",
Arc_1_More_Damage_01,"더 아픈 레이져",
Arc_1_More_Damage_02,"더 아픈 레이져",
Arc_1_More_Projectile_01,"레이져 1개 추가",
Arc_1_More_Projectile_02,"레이져 1개 추가",
Arc_1_More_Reflection_01,"한 번 더 반사",
Arc_1_Synergy,"더 많은 레이져",
Arc_2_Acquire,"",
Arc_2_More_Damage_01,"더 아픈 레이져",
Arc_2_More_Damage_02,"더 아픈 레이져",
Arc_2_More_Projectile_01,"레이져 1개 추가",
Arc_2_More_Projectile_02,"레이져 1개 추가",
Arc_2_More_Reflection_01,"한 번 더 반사",
Arc_2_Synergy,"더 많은 레이져",
Arc_3_Acquire,"",
Arc_3_More_Damage_01,"더 아픈 레이져",
Arc_3_More_Damage_02,"더 아픈 레이져",
Arc_3_More_Projectile_01,"레이져 1개 추가",
Arc_3_More_Projectile_02,"레이져 1개 추가",
Arc_3_More_Reflection_01,"한 번 더 반사",
Arc_3_Synergy,"더 많은 레이져",
Arc_4_Acquire,"",
Arc_4_More_Damage_01,"더 아픈 레이져",
Arc_4_More_Damage_02,"더 아픈 레이져",
Arc_4_More_Projectile_01,"레이져 1개 추가",
Arc_4_More_Projectile_02,"레이져 1개 추가",
Arc_4_More_Reflection_01,"한 번 더 반사",
Arc_4_Synergy,"더 많은 레이져",
ArcF_0_Acquire,"Reflect Laser!",
ArcF_0_More_Damage_01,"Stronger Laser",
ArcF_0_More_Damage_02,"Stronger Laser",
ArcF_0_More_Projectile_01,"+1 Laser",
ArcF_0_More_Projectile_02,"+1 Laser",
ArcF_0_More_Reflection_01,"Extra Bounce",
ArcF_0_Synergy,"Laser Web!",
ArcF_1_Acquire,"Reflect Laser!",
ArcF_1_More_Damage_01,"Stronger Laser",
ArcF_1_More_Damage_02,"Stronger Laser",
ArcF_1_More_Projectile_01,"+1 Laser",
ArcF_1_More_Projectile_02,"+1 Laser",
ArcF_1_More_Reflection_01,"Extra Bounce",
ArcF_1_Synergy,"Laser Web!",
ArcF_2_Acquire,"Reflect Laser!",
ArcF_2_More_Damage_01,"Stronger Laser",
ArcF_2_More_Damage_02,"Stronger Laser",
ArcF_2_More_Projectile_01,"+1 Laser",
ArcF_2_More_Projectile_02,"+1 Laser",
ArcF_2_More_Reflection_01,"Extra Bounce",
ArcF_2_Synergy,"Laser Web!",
Bomb_0_Acquire,"폭탄오리",
Bomb_0_More_Damage_01,"데미지 증가",
Bomb_0_More_Damage_02,"데미지 증가",
Bomb_0_More_Damage_03,"데미지 증가",
Bomb_0_More_Projectile_01,"폭탄 추가",
Bomb_0_More_Projectile_02,"폭탄 추가",
Bomb_0_Synergy,"연속폭탄오리",
Bomb_1_Acquire,"폭탄오리",
Bomb_1_More_Damage_01,"데미지 증가",
Bomb_1_More_Damage_02,"데미지 증가",
Bomb_1_More_Damage_03,"데미지 증가",
Bomb_1_More_Projectile_01,"폭탄 추가",
Bomb_1_More_Projectile_02,"폭탄 추가",
Bomb_1_Synergy,"연속폭탄오리",
Bomb_2_Acquire,"폭탄오리",
Bomb_2_More_Damage_01,"데미지 증가",
Bomb_2_More_Damage_02,"데미지 증가",
Bomb_2_More_Damage_03,"데미지 증가",
Bomb_2_More_Projectile_01,"폭탄 추가",
Bomb_2_More_Projectile_02,"폭탄 추가",
Bomb_2_Synergy,"연속폭탄오리",
Bomb_3_Acquire,"폭탄오리",
Bomb_3_More_Damage_01,"데미지 증가",
Bomb_3_More_Damage_02,"데미지 증가",
Bomb_3_More_Damage_03,"데미지 증가",
Bomb_3_More_Projectile_01,"폭탄 추가",
Bomb_3_More_Projectile_02,"폭탄 추가",
Bomb_3_Synergy,"연속폭탄오리",
Bomb_4_Acquire,"폭탄오리",
Bomb_4_More_Damage_01,"데미지 증가",
Bomb_4_More_Damage_02,"데미지 증가",
Bomb_4_More_Damage_03,"데미지 증가",
Bomb_4_More_Projectile_01,"폭탄 추가",
Bomb_4_More_Projectile_02,"폭탄 추가",
Bomb_4_Synergy,"연속폭탄오리",
Bow_0_Acquire,"화살 발사",
Bow_0_More_Damage_01,"데미지 증가",
Bow_0_More_Damage_02,"데미지 증가",
Bow_0_More_Projectile_01,"더 많은 화살",
Bow_0_More_Projectile_02,"더 많은 화살",
Bow_0_More_Projectile_03,"더 많은 화살",
Bow_0_Synergy,"쏟아지는 화살비",
Bow_1_Acquire,"화살 발사",
Bow_1_More_Damage_01,"데미지 증가",
Bow_1_More_Damage_02,"데미지 증가",
Bow_1_More_Projectile_01,"더 많은 화살",
Bow_1_More_Projectile_02,"더 많은 화살",
Bow_1_More_Projectile_03,"더 많은 화살",
Bow_1_Synergy,"쏟아지는 화살비",
Bow_2_Acquire,"화살 발사",
Bow_2_More_Damage_01,"데미지 증가",
Bow_2_More_Damage_02,"데미지 증가",
Bow_2_More_Projectile_01,"더 많은 화살",
Bow_2_More_Projectile_02,"더 많은 화살",
Bow_2_More_Projectile_03,"더 많은 화살",
Bow_2_Synergy,"쏟아지는 화살비",
Bow_3_Acquire,"화살 발사",
Bow_3_More_Damage_01,"데미지 증가",
Bow_3_More_Damage_02,"데미지 증가",
Bow_3_More_Projectile_01,"더 많은 화살",
Bow_3_More_Projectile_02,"더 많은 화살",
Bow_3_More_Projectile_03,"더 많은 화살",
Bow_3_Synergy,"쏟아지는 화살비",
Bow_4_Acquire,"화살 발사",
Bow_4_More_Damage_01,"데미지 증가",
Bow_4_More_Damage_02,"데미지 증가",
Bow_4_More_Projectile_01,"더 많은 화살",
Bow_4_More_Projectile_02,"더 많은 화살",
Bow_4_More_Projectile_03,"더 많은 화살",
Bow_4_Synergy,"쏟아지는 화살비",
BowF_0_Acquire,"Arrow Attack!",
BowF_0_More_Damage_01,"Damage Up",
BowF_0_More_Damage_02,"Damage Up",
BowF_0_More_Projectile_01,"More Arrows",
BowF_0_More_Projectile_02,"More Arrows",
BowF_0_More_Projectile_03,"More Arrows",
BowF_0_Synergy,"Arrow Rain!",
BowF_1_Acquire,"Arrow Attack!",
BowF_1_More_Damage_01,"Damage Up",
BowF_1_More_Damage_02,"Damage Up",
BowF_1_More_Projectile_01,"More Arrows",
BowF_1_More_Projectile_02,"More Arrows",
BowF_1_More_Projectile_03,"More Arrows",
BowF_1_Synergy,"Arrow Rain!",
BowF_2_Acquire,"Arrow Attack!",
BowF_2_More_Damage_01,"Damage Up",
BowF_2_More_Damage_02,"Damage Up",
BowF_2_More_Projectile_01,"More Arrows",
BowF_2_More_Projectile_02,"More Arrows",
BowF_2_More_Projectile_03,"More Arrows",
BowF_2_Synergy,"Arrow Rain!",
Bowling_0_Acquire,"데굴데굴 볼링공",
Bowling_0_Skill_01,"데미지 증가",
Bowling_0_Skill_02,"데미지 증가",
Bowling_0_Skill_03,"데미지 증가",
Bowling_0_Skill_04,"더 넓은 범위 공격",
Bowling_0_Skill_05,"더 넓은 범위 공격",
Bowling_0_Synergy,"",
Bowling_1_Acquire,"데굴데굴 볼링공",
Bowling_1_Skill_01,"데미지 증가",
Bowling_1_Skill_02,"데미지 증가",
Bowling_1_Skill_03,"데미지 증가",
Bowling_1_Skill_04,"더 넓은 범위 공격",
Bowling_1_Skill_05,"더 넓은 범위 공격",
Bowling_1_Synergy,"",
Bowling_2_Acquire,"데굴데굴 볼링공",
Bowling_2_Skill_01,"데미지 증가",
Bowling_2_Skill_02,"데미지 증가",
Bowling_2_Skill_03,"데미지 증가",
Bowling_2_Skill_04,"더 넓은 범위 공격",
Bowling_2_Skill_05,"더 넓은 범위 공격",
Bowling_2_Synergy,"",
Bowling_3_Acquire,"데굴데굴 볼링공",
Bowling_3_Skill_01,"데미지 증가",
Bowling_3_Skill_02,"데미지 증가",
Bowling_3_Skill_03,"데미지 증가",
Bowling_3_Skill_04,"더 넓은 범위 공격",
Bowling_3_Skill_05,"더 넓은 범위 공격",
Bowling_3_Synergy,"",
Bowling_4_Acquire,"데굴데굴 볼링공",
Bowling_4_Skill_01,"데미지 증가",
Bowling_4_Skill_02,"데미지 증가",
Bowling_4_Skill_03,"데미지 증가",
Bowling_4_Skill_04,"더 넓은 범위 공격",
Bowling_4_Skill_05,"더 넓은 범위 공격",
Bowling_4_Synergy,"",
BowlingF_0_Acquire,"Rolling Strike!",
BowlingF_0_Skill_01,"Damage Up",
BowlingF_0_Skill_02,"Damage Up",
BowlingF_0_Skill_03,"Damage Up",
BowlingF_0_Skill_04,"Wider Strike",
BowlingF_0_Skill_05,"Wider Strike",
BowlingF_0_Synergy,"Double Bowl!",
BowlingF_1_Acquire,"Rolling Strike!",
BowlingF_1_Skill_01,"Damage Up",
BowlingF_1_Skill_02,"Damage Up",
BowlingF_1_Skill_03,"Damage Up",
BowlingF_1_Skill_04,"Wider Strike",
BowlingF_1_Skill_05,"Wider Strike",
BowlingF_1_Synergy,"Double Bowl!",
BowlingF_2_Acquire,"Rolling Strike!",
BowlingF_2_Skill_01,"Damage Up",
BowlingF_2_Skill_02,"Damage Up",
BowlingF_2_Skill_03,"Damage Up",
BowlingF_2_Skill_04,"Wider Strike",
BowlingF_2_Skill_05,"Wider Strike",
BowlingF_2_Synergy,"Double Bowl!",
CannonF_0_Acquire,"Header Bomb!",
CannonF_0_More_Damage_01,"Damage Up",
CannonF_0_More_Damage_02,"Damage Up",
CannonF_0_More_Damage_03,"Damage Up",
CannonF_0_More_Projectile_01,"+1 Bomb",
CannonF_0_More_Projectile_02,"+1 Bomb",
CannonF_0_Synergy,"Spin Bombs!",
CannonF_1_Acquire,"Header Bomb!",
CannonF_1_More_Damage_01,"Damage Up",
CannonF_1_More_Damage_02,"Damage Up",
CannonF_1_More_Damage_03,"Damage Up",
CannonF_1_More_Projectile_01,"+1 Bomb",
CannonF_1_More_Projectile_02,"+1 Bomb",
CannonF_1_Synergy,"Spin Bombs!",
CannonF_2_Acquire,"Header Bomb!",
CannonF_2_More_Damage_01,"Damage Up",
CannonF_2_More_Damage_02,"Damage Up",
CannonF_2_More_Damage_03,"Damage Up",
CannonF_2_More_Projectile_01,"+1 Bomb",
CannonF_2_More_Projectile_02,"+1 Bomb",
CannonF_2_Synergy,"Spin Bombs!",
Cat_0_Acquire,"고양이 출동!",
Cat_0_More_Damage_01,"날카로운 고양이 발톱",
Cat_0_More_Damage_02,"날카로운 고양이 발톱",
Cat_0_More_Projectile_01,"더 많은 고양이",
Cat_0_More_Projectile_02,"더 많은 고양이",
Cat_0_More_Projectile_03,"더 많은 고양이",
Cat_0_Synergy,"고양이 군단 출동!",
Cat_1_Acquire,"고양이 출동!",
Cat_1_More_Damage_01,"날카로운 고양이 발톱",
Cat_1_More_Damage_02,"날카로운 고양이 발톱",
Cat_1_More_Projectile_01,"더 많은 고양이",
Cat_1_More_Projectile_02,"더 많은 고양이",
Cat_1_More_Projectile_03,"더 많은 고양이",
Cat_1_Synergy,"고양이 군단 출동!",
Cat_2_Acquire,"고양이 출동!",
Cat_2_More_Damage_01,"날카로운 고양이 발톱",
Cat_2_More_Damage_02,"날카로운 고양이 발톱",
Cat_2_More_Projectile_01,"더 많은 고양이",
Cat_2_More_Projectile_02,"더 많은 고양이",
Cat_2_More_Projectile_03,"더 많은 고양이",
Cat_2_Synergy,"고양이 군단 출동!",
Cat_3_Acquire,"고양이 출동!",
Cat_3_More_Damage_01,"날카로운 고양이 발톱",
Cat_3_More_Damage_02,"날카로운 고양이 발톱",
Cat_3_More_Projectile_01,"더 많은 고양이",
Cat_3_More_Projectile_02,"더 많은 고양이",
Cat_3_More_Projectile_03,"더 많은 고양이",
Cat_3_Synergy,"고양이 군단 출동!",
Cat_4_Acquire,"고양이 출동!",
Cat_4_More_Damage_01,"날카로운 고양이 발톱",
Cat_4_More_Damage_02,"날카로운 고양이 발톱",
Cat_4_More_Projectile_01,"더 많은 고양이",
Cat_4_More_Projectile_02,"더 많은 고양이",
Cat_4_More_Projectile_03,"더 많은 고양이",
Cat_4_Synergy,"고양이 군단 출동!",
CatF_0_Acquire,"Cat Attack!",
CatF_0_More_Damage_01,"Sharp Claws",
