upgradeName,Korean,English
# 오리 업그레이드
Arc_0_Acquire,"반사 레이져!",
Arc_0_More_Damage_01,"더 아픈 레이져",
Arc_0_More_Damage_02,"더 아픈 레이져",
Arc_0_More_Projectile_01,"레이져 추가",
Arc_0_More_Projectile_02,"레이져 추가",
Arc_0_More_Reflection_01,"한 번 더 반사",
Arc_0_Synergy,"그물망 레이져!",
Arc_1_Acquire,"반사 레이져!",
Arc_1_More_Damage_01,"더 아픈 레이져",
Arc_1_More_Damage_02,"더 아픈 레이져",
Arc_1_More_Projectile_01,"레이져 추가",
Arc_1_More_Projectile_02,"레이져 추가",
Arc_1_More_Reflection_01,"한 번 더 반사",
Arc_1_Synergy,"그물망 레이져!",
Arc_2_Acquire,"반사 레이져!",
Arc_2_More_Damage_01,"더 아픈 레이져",
Arc_2_More_Damage_02,"더 아픈 레이져",
Arc_2_More_Projectile_01,"레이져 추가",
Arc_2_More_Projectile_02,"레이져 추가",
Arc_2_More_Reflection_01,"한 번 더 반사",
Arc_2_Synergy,"그물망 레이져!",
Arc_3_Acquire,"반사 레이져!",
Arc_3_More_Damage_01,"더 아픈 레이져",
Arc_3_More_Damage_02,"더 아픈 레이져",
Arc_3_More_Projectile_01,"레이져 추가",
Arc_3_More_Projectile_02,"레이져 추가",
Arc_3_More_Reflection_01,"한 번 더 반사",
Arc_3_Synergy,"그물망 레이져!",
Arc_4_Acquire,"반사 레이져!",
Arc_4_More_Damage_01,"더 아픈 레이져",
Arc_4_More_Damage_02,"더 아픈 레이져",
Arc_4_More_Projectile_01,"레이져 추가",
Arc_4_More_Projectile_02,"레이져 추가",
Arc_4_More_Reflection_01,"한 번 더 반사",
Arc_4_Synergy,"그물망 레이져!",
ArcF_0_Acquire,"반사 레이져!",
ArcF_0_More_Damage_01,"더 아픈 레이져",
ArcF_0_More_Damage_02,"더 아픈 레이져",
ArcF_0_More_Projectile_01,"레이져 추가",
ArcF_0_More_Projectile_02,"레이져 추가",
ArcF_0_More_Reflection_01,"한 번 더 반사",
ArcF_0_Synergy,"그물망 레이져!",
ArcF_1_Acquire,"반사 레이져!",
ArcF_1_More_Damage_01,"더 아픈 레이져",
ArcF_1_More_Damage_02,"더 아픈 레이져",
ArcF_1_More_Projectile_01,"레이져 추가",
ArcF_1_More_Projectile_02,"레이져 추가",
ArcF_1_More_Reflection_01,"한 번 더 반사",
ArcF_1_Synergy,"그물망 레이져!",
ArcF_2_Acquire,"반사 레이져!",
ArcF_2_More_Damage_01,"더 아픈 레이져",
ArcF_2_More_Damage_02,"더 아픈 레이져",
ArcF_2_More_Projectile_01,"레이져 추가",
ArcF_2_More_Projectile_02,"레이져 추가",
ArcF_2_More_Reflection_01,"한 번 더 반사",
ArcF_2_Synergy,"그물망 레이져!",
Bomb_0_Acquire,"헤딩 폭탄!",
Bomb_0_More_Damage_01,"데미지 증가",
Bomb_0_More_Damage_02,"데미지 증가",
Bomb_0_More_Damage_03,"데미지 증가",
Bomb_0_More_Projectile_01,"폭탄 추가",
Bomb_0_More_Projectile_02,"폭탄 추가",
Bomb_0_Synergy,"빙글빙글 폭탄!",
Bomb_1_Acquire,"헤딩 폭탄!",
Bomb_1_More_Damage_01,"데미지 증가",
Bomb_1_More_Damage_02,"데미지 증가",
Bomb_1_More_Damage_03,"데미지 증가",
Bomb_1_More_Projectile_01,"폭탄 추가",
Bomb_1_More_Projectile_02,"폭탄 추가",
Bomb_1_Synergy,"빙글빙글 폭탄!",
Bomb_2_Acquire,"헤딩 폭탄!",
Bomb_2_More_Damage_01,"데미지 증가",
Bomb_2_More_Damage_02,"데미지 증가",
Bomb_2_More_Damage_03,"데미지 증가",
Bomb_2_More_Projectile_01,"폭탄 추가",
Bomb_2_More_Projectile_02,"폭탄 추가",
Bomb_2_Synergy,"빙글빙글 폭탄!",
Bomb_3_Acquire,"헤딩 폭탄!",
Bomb_3_More_Damage_01,"데미지 증가",
Bomb_3_More_Damage_02,"데미지 증가",
Bomb_3_More_Damage_03,"데미지 증가",
Bomb_3_More_Projectile_01,"폭탄 추가",
Bomb_3_More_Projectile_02,"폭탄 추가",
Bomb_3_Synergy,"빙글빙글 폭탄!",
Bomb_4_Acquire,"헤딩 폭탄!",
Bomb_4_More_Damage_01,"데미지 증가",
Bomb_4_More_Damage_02,"데미지 증가",
Bomb_4_More_Damage_03,"데미지 증가",
Bomb_4_More_Projectile_01,"폭탄 추가",
Bomb_4_More_Projectile_02,"폭탄 추가",
Bomb_4_Synergy,"빙글빙글 폭탄!",
Bow_0_Acquire,"화살 발사!",
Bow_0_More_Damage_01,"데미지 증가",
Bow_0_More_Damage_02,"데미지 증가",
Bow_0_More_Projectile_01,"더 많은 화살",
Bow_0_More_Projectile_02,"더 많은 화살",
Bow_0_More_Projectile_03,"더 많은 화살",
Bow_0_Synergy,"쏟아지는 화살비!",
Bow_1_Acquire,"화살 발사!",
